sample,rmse,mae,relative_l2
0,1.5645417954707406,0.942085320523933,0.02185293622800044
1,1.6425851146399386,0.9771748259679178,0.020960044887292015
2,1.9187734101205276,1.144132867679005,0.022528613756750828
3,1.2150265727498524,0.7323572989124286,0.047274372111417315
4,1.0343180136197456,0.6323478034759482,0.03238849439702888
5,1.1960952450894542,0.7160399653140836,0.031751138054951764
6,1.2051966378019858,0.7317770026043466,0.027216808269214614
7,1.2804199714030313,0.7724444861149459,0.025124235602912846
8,1.3546041423922635,0.8171958066443321,0.023616406780835517
9,1.429555052907147,0.8477998427304471,0.022270124249379773
