scope,component,mse,rmse,mae,max_ae,bias,relative_l2,r2,corr
overall,-,1.9774869719924806,1.406231478808692,0.8313355219967389,18.84114997551203,-0.050349464730431295,0.024263632889929464,0.9992720835647761,0.9996441574268368
magnitude,-,4.98894317518093,2.2335942279610523,1.661923385068644,18.855562788057938,-0.20546309852470415,0.022250647943625492,0.9972170215111815,0.9986681606103915
component,u,5.199207894767625,2.280177163022125,1.6960431539349372,18.84114997551203,-0.2282810543866849,0.023138629213726905,0.9971456747220402,0.9986264123273987
component,v,0.6501031467111825,0.8062897411670215,0.5835717285290053,6.457229505090034,0.09519254196769274,0.04311720428057545,0.996538701415663,0.9983526634231835
component,w,0.08314987449863402,0.2883571994915924,0.2143916835262741,2.1699962170650675,-0.017959881772301785,0.07170767100704638,0.9948564962100729,0.9975034306747692
