region,target_speed_percentile_low,target_speed_percentile_high,target_speed_low,target_speed_high,point_count,vector_mae,vector_rmse,magnitude_mae,magnitude_rmse
low_speed,0.0,50.0,25.212706824266274,75.67748815031685,15360,1.9144725749555058,2.4009683410706573,1.5791164932774442,2.1260359472184356
medium_speed,50.0,90.0,75.67748815031685,163.0042304440829,12288,1.9369248645697095,2.491173017469424,1.7181772268438298,2.347993566113723
high_speed,90.0,100.0,163.0042304440829,180.43498457617457,3072,1.9886771852810952,2.382769874281953,1.8509424769238982,2.2884475876538217
